SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
"Garden, Rear Of 1/9 Cresswell Gardens",Formal garden,Kensington and Chelsea,0.2021,Free,,,,,,,,,
"Gardens, Rear Of 2/4 Rosary Gardens",Formal garden,Kensington and Chelsea,0.0741,Free,,,,,,,,,
"Gardens (part), In Front Of 5/12 Alexander Square",Formal garden,Kensington and Chelsea,0.0553,Free,,,,,,,,,
Royal Avenue,Park,Kensington and Chelsea,0.2973,Free,,,,,,,,,
"Public Square, Sloane Square",Play space,Kensington and Chelsea,0.2115,Free,,,,,,,,,
Gardens Rear Of 1/9 Bartle Road,Formal garden,Kensington and Chelsea,0.0358,Free,,,,,,,,,
Kensington Memorial Park,Park,Kensington and Chelsea,2.6871,Free,,,,,,,,,
Barlby Gardens,Formal garden,Kensington and Chelsea,0.0716,Free,,,,,,,,,
"Gardens, Ovington Square",Formal garden,Kensington and Chelsea,0.1345,Free,,,,,,,,,
St Mary Abbots Garden,Formal garden,Kensington and Chelsea,0.1549,Free,,,,,,,,,
Avondale Park,Recreation ground,Kensington and Chelsea,1.8023,Free,,,,,,,,,
Open Space Adjacent To 28 Somerset Square,Formal garden,Kensington and Chelsea,0.0315,Free,,,,,,,,,
"Amenity Area (east), Albert Bridge",Amenity green space,Kensington and Chelsea,0.0448,Free,,,,,,,,,
Wycombe Square,Formal garden,Kensington and Chelsea,0.0943,Free,,,,,,,,,
Alec Clifton-Taylor Memorial Garden,Formal garden,Kensington and Chelsea,0.0307,Free,,,,,,,,,
"Garden, Edwardes Place",Formal garden,Kensington and Chelsea,0.0178,Free,,,,,,,,,
Communal Gardens Rear Of 3a/3b Cowper Terrace,Formal garden,Kensington and Chelsea,0.042,Free,,,,,,,,,
Westfield Park,Park,Kensington and Chelsea,1.1211,Free,,,,,,,,,
"Amenity Area, Rear Of 11/23 Onslow Square",Amenity green space,Kensington and Chelsea,0.0721,Free,,,,,,,,,
Dulford Street Estate,Play space,Kensington and Chelsea,0.1355,Free,,,,,,,,,
Portobello Green,Amenity green space,Kensington and Chelsea,0.2488,Free,,,,,,,,,
Meanwhile Gardens,Nature reserve,Kensington and Chelsea,1.7008,Free,,,,,,,,,
"Gardens, Rear Of 31/44 Evelyn Gardens",Formal garden,Kensington and Chelsea,0.1547,Free,,,,,,,,,
Wiltshire Close Community Kitchen Garden,Community garden,Kensington and Chelsea,0.0009,Free,,,,,,,,,
Pembroke Square Gardens,Formal garden,Kensington and Chelsea,0.1895,Free,,,,,,,,,
Roper's Garden (danver Street Open Space),Formal garden,Kensington and Chelsea,0.1287,Free,,,,,,,,,
"Garden, In Front Of 63a/68a Chelsea Square",Formal garden,Kensington and Chelsea,0.049,Free,,,,,,,,,
"Gardens, Wellington Square",Formal garden,Kensington and Chelsea,0.0472,Free,,,,,,,,,
St Thomas More Statue,Formal garden,Kensington and Chelsea,0.0233,Free,,,,,,,,,
Ifield Road Playground,Play space,Kensington and Chelsea,0.0823,Free,,,,,,,,,
Hope Gardens,Formal garden,Kensington and Chelsea,0.0541,Free,,,,,,,,,
Wiltshire Close,Play space,Kensington and Chelsea,0.653,Free,,,,,,,,,
"Gardens, Rear Of 2/41 Elm Park Gardens",Formal garden,Kensington and Chelsea,0.1856,Free,,,,,,,,,
"Gardens (part), In Front Of 13/20 Alexander Square",Formal garden,Kensington and Chelsea,0.0674,Free,,,,,,,,,
Redcliffe Square Gardens,Formal garden,Kensington and Chelsea,0.3699,Free,,,,,,,,,
Woodsford Square Gardens (north),Formal garden,Kensington and Chelsea,0.2217,Free,,,,,,,,,
"Gardens, Rear Of 4/36 Sloane Gardens",Formal garden,Kensington and Chelsea,0.2801,Free,,,,,,,,,
Abbots Gardens,Formal garden,Kensington and Chelsea,0.0892,Free,,,,,,,,,
Basing Street Playground,Play space,Kensington and Chelsea,0.1032,Free,,,,,,,,,
Maxilla Walk Gardens,Park,Kensington and Chelsea,0.4994,Free,,,,,,,,,
Malvern Close Garden,Formal garden,Kensington and Chelsea,0.2319,Free,,,,,,,,,
"Gardens, Rear Of Langham Mansions",Formal garden,Kensington and Chelsea,0.0232,Free,,,,,,,,,
"Amenity Area, Rear Of 34/38 Ashburn Place",Amenity green space,Kensington and Chelsea,0.0752,Free,,,,,,,,,
Amenity Area Adjacent To Hazlewood Tower,Amenity green space,Kensington and Chelsea,0.0323,Free,,,,,,,,,
Battersea Bridge Gardens,Formal garden,Kensington and Chelsea,0.0685,Free,,,,,,,,,
Powis Square Gardens,Formal garden,Kensington and Chelsea,0.2212,Free,,,,,,,,,
"Gardens, Rear Of 7/31 Sloane Court West",Formal garden,Kensington and Chelsea,0.1255,Free,,,,,,,,,
Gardens Between 7 And 8 Addison Road,Formal garden,Kensington and Chelsea,0.074,Free,,,,,,,,,
Wesley Square Gardens,Formal garden,Kensington and Chelsea,0.1516,Free,,,,,,,,,
St Luke's Gardens,Park,Kensington and Chelsea,1.5258,Free,,,,,,,,,
Albert Bridge Gardens,Formal garden,Kensington and Chelsea,0.3036,Free,,,,,,,,,
Sunbeam Gardens,Park,Kensington and Chelsea,0.4133,Free,,,,,,,,,
"Amenity Area, Rear Of 12/18 Southwell Gardens",Amenity green space,Kensington and Chelsea,0.1921,Free,,,,,,,,,
"Playground, Adjacent To 11 Blantyre Street",Other recreational,Kensington and Chelsea,0.0648,Free,,,,,,,,,
Kensington Palace Gardens,Park,Kensington and Chelsea,3.1657,Free,,,,,,,,,
"Public Playground, Rear Of Pauls House",Play space,Kensington and Chelsea,0.0644,Free,,,,,,,,,
"Amenity Area, Addison Road",Amenity green space,Kensington and Chelsea,0.0334,Free,,,,,,,,,
Sutton Estate  Playground,Play space,Kensington and Chelsea,0.0741,Free,,,,,,,,,
"St. Luke's Church Gardens, West Norwood",Formal garden,Lambeth,0.3126,Free,,,,,,,,,
Cleaver Square,Civic/market square,Lambeth,0.1728,De facto,,,,,,,,,
Hatfields Green,Park,Lambeth,0.4072,Free,,,,,,,,,
Marnfield Crescent Green,Amenity green space,Lambeth,0.354,Free,,,,,,,,,
Lambeth Walk Doorstep Green,Park,Lambeth,1.8825,Free,,,,,,,,,
Vauxhall Park,Park,Lambeth,3.1722,Free,,,,,,,,,
Unigate Wood Local Nature Reserve,Nature reserve,Lambeth,1.2315,Free,,,,,,,,,
Grafton Square,Park,Lambeth,0.3107,Free,,,,,,,,,
Trinity Gardens (Lambeth),Formal garden,Lambeth,0.0649,Free,,,,,,,,,
Marcus Lipton Youth Centre,Landscaping around premises,Lambeth,0.1835,Restricted,,,,,,,,,
Open Space on Rhodesia Road,Amenity green space,Lambeth,0.3105,Free,,,,,,,,,
Slade Gardens,Park,Lambeth,2.0456,Free,,,,,,,,,
Milkwood Community Park,Park,Lambeth,0.7474,Free,,,,,,,,,
Albert Embankment Gardens,Road island/verge,Lambeth,0.4983,De facto,,,,,,,,,
Tivoli Park,Park,Lambeth,1.6477,Free,,,,,,,,,
Brixton Orchard,Formal garden,Lambeth,0.0998,Free,,,,,,,,,
Georgetown Close Green,Amenity green space,Lambeth,0.2301,Free,,,,,,,,,
Tulse Hill Nature Garden,Community garden,Lambeth,0.1018,Free,,,,,,,,,
The Rookery (Streatham Common),Formal garden,Lambeth,2.6538,Free,,,,,,,,,
Pedlars Acre Trust Gardens,Community garden,Lambeth,0.4464,Free,,,,,,,,,
Chandlers Way Green,Amenity green space,Lambeth,0.4263,Free,,,,,,,,,
Max Roach Park,Park,Lambeth,2.84,Free,,,,,,,,,
Dexter Adventure Ground,Adventure playground,Lambeth,0.2733,Restricted,,,,,,,,,
Loughborough Park,Park,Lambeth,1.6327,Free,,,,,,,,,
Emma Cons Gardens,Other hard surfaced areas,Lambeth,0.095,De facto,,,,,,,,,
St Matthew's Church Gardens,Formal garden,Lambeth,0.6275,Free,,,,,,,,,
Old Paradise Gardens,Formal garden,Lambeth,0.7619,Free,,,,,,,,,
Larkhall Park,Park,Lambeth,5.6336,Free,,,,,,,,,
Streatham Memorial Gardens,Formal garden,Lambeth,0.2021,Free,,,,,,,,,
Open space at West Norwood,Amenity green space,Lambeth,1.0995,Free,,,,,,,,,
Archbishop's Park,Park,Lambeth,3.7668,Free,,,,,,,,,
Norwood Park,Park,Lambeth,13.9051,Free,,,,,,,,,
Streatham Green,Formal garden,Lambeth,0.1756,De facto,,,,,,,,,
Eden Road Open Space,Park,Lambeth,0.3927,Free,,,,,,,,,
West Norwood Cemetery,Cemetery/churchyard,Lambeth,15.9606,Free,,,,,,,,,
St Thomas's Hospital Gardens,Formal garden,Lambeth,0.5726,Free,,,,,,,,,
Ruskin Park,Park,Lambeth,14.7053,Free,,,,,,,,,
Streatham Common,Common,Lambeth,25.2292,Free,,,,,,,,,
Valley Road Playing Field,Playing fields,Lambeth,0.7149,De facto,,,,,,,,,
Open Space on Swinford Gardens,Amenity green space,Lambeth,0.2396,Free,,,,,,,,,
Stockwell Park Skateboard Park,Youth area,Lambeth,0.3217,Free,,,,,,,,,
Lansdowne Gardens,Formal garden,Lambeth,0.0871,Free,,,,,,,,,
Roots and Shoots Nature Garden,Community garden,Lambeth,0.3045,Free,,,,,,,,,
South Bank Thames Walk between Waterloo Bridge and Hungerford Bridge,Walking/cycling route,Lambeth,1.8668,Free,,,,,,,,,
Marcella Road Open Space,Play space,Lambeth,0.2841,Free,,,,,,,,,
Claylands Green,Amenity green space,Lambeth,0.1212,De facto,,,,,,,,,
Peabody Hill,Nature reserve,Lambeth,2.1091,Free,,,,,,,,,
Raleigh Gardens - North,Park,Lambeth,0.3673,Free,,,,,,,,,
Grove Adventure Playground,Adventure playground,Lambeth,0.136,Restricted,,,,,,,,,
Valley Park Outdoor Gym,Other recreational,Lambeth,0.0117,De facto,,,,,,,,,
Pedlar's Park,Park,Lambeth,0.5949,Free,,,,,,,,,
Windrush Square,Civic/market square,Lambeth,0.4294,De facto,,,,,,,,,
Jubilee Gardens (Lambeth),Park,Lambeth,1.7314,Free,,,,,,,,,
Myatt's Fields Park,Park,Lambeth,5.1002,Free,,,,,,,,,
Eden at St Paul's Community Garden,Community garden,Lambeth,0.1457,Free,,,,,,,,,
Agnes Riley Gardens,Park,Lambeth,1.5669,Free,,,,,,,,,
Rush Common,Park,Lambeth,3.5563,De facto,,,,,,,,,
Vauxhall Pleasure Gardens,Park,Lambeth,2.9385,Free,,,,,,,,,
St. Leonard's Churchyard,Cemetery/churchyard,Lambeth,0.5065,Free,,,,,,,,,
Grafton Tennis and Squash Club,Playing fields,Lambeth,0.8578,Free,,,,,,,,,
Harleyford Road Community Garden,Community garden,Lambeth,0.2275,Free,,,,,,,,,
Ufford Street Gardens,Park,Lambeth,0.2088,Free,,,,,,,,,
Kendal Close Open Space,Amenity green space,Lambeth,0.4039,Free,,,,,,,,,
Eardley Road Sidings,Nature reserve,Lambeth,1.4698,Free,,,,,,,,,
Albert Embankment,Walking/cycling route,Lambeth,1.009,Free,,,,,,,,,
Bernie Spain Gardens,Community garden,Lambeth,0.356,Free,,,,,,,,,
Dan Leno Gardens,Formal garden,Lambeth,0.0963,Free,,,,,,,,,
Stewart's Road Adventure Playground,Adventure playground,Lambeth,0.1603,Restricted,,,,,,,,,
St Thomas' Parish Church,Cemetery/churchyard,Lambeth,0.2583,Free,,,,,,,,,
Knights Hill Wood Nature Reserve,Nature reserve,Lambeth,0.2381,Free,,,,,,,,,
Streatham Vale Park,Park,Lambeth,2.1985,Free,,,,,,,,,
Brockwell Park,Park,Lambeth,51.6263,Free,,,,,,,,,
Waterloo Millennium Green,Park,Lambeth,0.5592,Free,,,,,,,,,
Palace Road Nature Garden,Nature reserve,Lambeth,0.6714,Free,,,,,,,,,
Kennington Green,Formal garden,Lambeth,0.0964,Free,,,,,,,,,
Kennington Park (Lambeth),Park,Lambeth,13.7543,Free,,,,,,,,,
Holmewood Gardens,Park,Lambeth,0.6481,Free,,,,,,,,,
Valley Park Playground,Play space,Lambeth,0.0502,Free,,,,,,,,,
Windmill Gardens,Park,Lambeth,0.7723,Free,,,,,,,,,
Becondale Road Open Space,Formal garden,Lambeth,0.0294,De facto,,,,,,,,,
Elam Street Open Space,Park,Lambeth,0.8838,Free,,,,,,,,,
St John's Nature Garden,Community garden,Lambeth,0.1065,Free,,,,,,,,,
Fitzalan Street,Formal garden,Lambeth,0.1416,Free,,,,,,,,,
"St John's Church Gardens, Waterloo",Formal garden,Lambeth,0.4199,Free,,,,,,,,,
Gabriels Wharf,Park,Lambeth,0.5254,Free,,,,,,,,,
Dumbarton Court,Road island/verge,Lambeth,0.0957,De facto,,,,,,,,,
St Mary's Church Gardens (Lambeth),Formal garden,Lambeth,0.1038,Free,,,,,,,,,
Hillside Gardens Park,Park,Lambeth,1.4875,Free,,,,,,,,,
Wyck Gardens,Park,Lambeth,1.7294,Free,,,,,,,,,
St Mark's Churchyard,Cemetery/churchyard,Lambeth,0.6184,De facto,,,,,,,,,
Telford Park Tennis Club,Playing fields,Lambeth,0.9068,Free,,,,,,,,,
Bonnington Square Gardens (The Pleasure Garden),Community garden,Lambeth,0.0464,Free,,,,,,,,,
St Paul's Churchyard,Cemetery/churchyard,Lambeth,0.3433,Free,,,,,,,,,
Coldharbour Lane Open space,Amenity green space,Lambeth,0.468,De facto,,,,,,,,,
Kirkstall Gardens,Formal garden,Lambeth,0.1292,Free,,,,,,,,,
Eythorne Park,Park,Lambeth,1.963,Free,,,,,,,,,
Open space on Russell Grove,Amenity green space,Lambeth,0.381,Free,,,,,,,,,
Durham Hill,Park,Lewisham,12.5649,Free,,,,,,,,,
Forbanks Ground Sports Ground,Playing fields,Lewisham,2.3071,De facto,,,,,,,,,
Riverview Walk,Park,Lewisham,3.3589,Free,,,,,,,,,
Somerset Gardens,Amenity green space,Lewisham,0.1067,Free,,,,,,,,,
Telegraph Hill Park,Park,Lewisham,4.1598,Free,,,,,,,,,
Bell Green Pond,Nature reserve,Lewisham,0.4672,Free,,,,,,,,,
Hither Green Cemetery,Cemetery/churchyard,Lewisham,17.9991,Free,,,,,,,,,
St. Mary's Churchyard Lewisham,Cemetery/churchyard,Lewisham,0.89,Free,,,,,,,,,
Baxter Field,Park,Lewisham,0.9875,Free,,,,,,,,,
Honor Oak Adventure Playground and Reserve,Adventure playground,Lewisham,1.4782,Free,,,,,,,,,
Friendly Gardens (Lewisham),Park,Lewisham,1.4252,Free,,,,,,,,,
Pepys Playground,Play space,Lewisham,0.4035,Free,,,,,,,,,
Hilly Fields (Lewisham),Park,Lewisham,18.9833,Free,,,,,,,,,
Mayow Park,Park,Lewisham,7.0173,Free,,,,,,,,,
Luxmore Gardens,Park,Lewisham,0.4135,Free,,,,,,,,,
Ten-Em-Bee Sports Club,Playing fields,Lewisham,2.5828,De facto,,,,,,,,,
Grove Close Green Space,Other recreational,Lewisham,0.3981,Free,,,,,,,,,
St Magaret's Square,Amenity green space,Lewisham,0.1248,Free,,,,,,,,,
Charlottenburg Gardens,Amenity green space,Lewisham,0.1358,Free,,,,,,,,,
Hatcham gardens,Park,Lewisham,0.462,Free,,,,,,,,,
Charlottenburg Park,Park,Lewisham,0.4887,Free,,,,,,,,,
Ravensbourne Park Gardens,Park,Lewisham,0.8374,Free,,,,,,,,,
Manor House Gardens,Park,Lewisham,3.9173,Free,,,,,,,,,
Ladywell Green,Amenity green space,Lewisham,0.9144,Free,,,,,,,,,
Evelyn Green,Recreation ground,Lewisham,1.1895,Free,,,,,,,,,
Grove Park Library Gardens,Amenity green space,Lewisham,0.7925,Free,,,,,,,,,
Chinbrook Meadows (Lewisham),Park,Lewisham,11.102,Free,,,,,,,,,
Beckenham Place Park Summerhouse Fields,Park,Lewisham,7.4611,Free,,,,,,,,,
Edith Nesbit Gardens,Park,Lewisham,0.564,Free,,,,,,,,,
Beachborough Gardens,Amenity green space,Lewisham,0.5466,Free,,,,,,,,,
Lewisham Crematorium,Cemetery/churchyard,Lewisham,3.8009,Free,,,,,,,,,
Northbrook Park,Park,Lewisham,3.7754,Free,,,,,,,,,
Folkestone Gardens,Park,Lewisham,2.5065,Free,,,,,,,,,
Dartmouth Road Open Space,Amenity green space,Lewisham,0.0986,Free,,,,,,,,,
Beckenham Hill Park,Park,Lewisham,0.8114,Free,,,,,,,,,
Pool River Open Space,Nature reserve,Lewisham,8.04,Free,,,,,,,,,
Lewisham Park,Park,Lewisham,4.1315,Free,,,,,,,,,
Crofton Park Railway Garden,Community garden,Lewisham,0.0637,Restricted,,,,,,,,,
Shaw Road Open Space,Amenity green space,Lewisham,0.3088,Free,,,,,,,,,
St. Margarets Churchyard,Cemetery/churchyard,Lewisham,0.8628,Free,,,,,,,,,
Sunning Hill Road,Amenity green space,Lewisham,0.0223,Free,,,,,,,,,
Longshore Open Space South,Amenity green space,Lewisham,0.4533,Free,,,,,,,,,
Ferranti Park,Park,Lewisham,0.2308,Free,,,,,,,,,
River Ravensbourne by Brookmill Park,River,Lewisham,0.8301,Free,,,,,,,,,
Sue Godfrey Nature Park,Nature reserve,Lewisham,0.5871,Free,,,,,,,,,
Vineries Nature Reserve,Nature reserve,Lewisham,0.664,Free,,,,,,,,,
Grove Park Cemetery,Cemetery/churchyard,Lewisham,9.1537,Free,,,,,,,,,
Horniman Museum Gardens,Formal garden,Lewisham,6.0913,Free,,,,,,,,,
Home Park,Park,Lewisham,3.1492,Free,,,,,,,,,
Garthorne Road Nature Reserve,Nature reserve,Lewisham,3.0526,Restricted,,,,,,,,,
Albion Millennium Green,Public woodland,Lewisham,0.7306,Free,,,,,,,,,
Kirkdale Green,Amenity green space,Lewisham,0.2475,Free,,,,,,,,,
Thurbarn Road,Amenity green space,Lewisham,0.1421,Free,,,,,,,,,
Westbourne Drive Enclosure,Park,Lewisham,0.4367,Free,,,,,,,,,
St Norbert Green,Amenity green space,Lewisham,0.1264,Free,,,,,,,,,
Guys Hospital Sports Ground,Playing fields,Lewisham,5.8345,De facto,,,,,,,,,
Bromley Hill Cemetery,Cemetery/churchyard,Lewisham,2.9909,Restricted,,,,,,,,,
Bridgehouse Meadows,Nature reserve,Lewisham,2.895,De facto,,,,,,,,,
West of SELCHP,Canal,Lewisham,0.1182,Free,,,,,,,,,
Brookmill Park,Park,Lewisham,2.7241,Free,,,,,,,,,
Bellingham Green,Park,Lewisham,0.911,Free,,,,,,,,,
Downham Woodland Walk Nature Reserve,Nature reserve,Lewisham,3.6998,Free,,,,,,,,,
Lewisham War Memorial Gardens,Community garden,Lewisham,0.5022,Free,,,,,,,,,
Duncombe Hill,Amenity green space,Lewisham,0.0967,Free,,,,,,,,,
Mountsfield Park,Park,Lewisham,13.3745,Free,,,,,,,,,
Sydenham Wells Park,Park,Lewisham,8.1547,Free,,,,,,,,,
Frendsbury Gardens,Community garden,Lewisham,0.1306,Free,,,,,,,,,
Beckenham Place Park Common,Park,Lewisham,17.5451,Free,,,,,,,,,
Sydenham Cottages Nature Reserve,Nature reserve,Lewisham,0.5378,Free,,,,,,,,,
Southend Park,Park,Lewisham,2.7279,Free,,,,,,,,,
Gilmore Road Triangle,Community garden,Lewisham,0.7369,Free,,,,,,,,,
Belingham Play Park,Play space,Lewisham,2.1785,Free,,,,,,,,,
Cornmill Gardens,Park,Lewisham,1.2414,Free,,,,,,,,,
Grove Park Nature Reserve,Nature reserve,Lewisham,5.1719,Free,,,,,,,,,
Fordham Park,Park,Lewisham,3.4595,Free,,,,,,,,,
Chingford Meadows Lane,Walking/cycling route,Lewisham,0.2666,Free,,,,,,,,,
Deptford War Memorial Gardens,Formal garden,Lewisham,0.5126,Free,,,,,,,,,
Elliott Forde Park,Play space,Lewisham,0.1519,Free,,,,,,,,,
Surrey Canal,Canal,Lewisham,0.2276,Free,,,,,,,,,
Queens Road,Amenity green space,Lewisham,0.1415,Part free,,,,,,,,,
Oslac Road,Amenity green space,Lewisham,0.1575,Free,,,,,,,,,
Manor Park (Lewisham),Park,Lewisham,1.3642,Free,,,,,,,,,
Longshore Open Space North,Amenity green space,Lewisham,0.2482,Free,,,,,,,,,
Blythe Hill Fields,Park,Lewisham,7.0669,Free,,,,,,,,,
Broadway Fields,Park,Lewisham,0.7455,Free,,,,,,,,,
"Goan Club, Ravensbourne Avenue",Recreation ground,Lewisham,2.3538,De facto,,,,,,,,,
Deptford Park,Park,Lewisham,7.0016,Free,,,,,,,,,
"St Pauls Churchyard, Deptford",Cemetery/churchyard,Lewisham,0.9085,Free,,,,,,,,,
Forster Memorial Park,Park,Lewisham,16.7681,Free,,,,,,,,,
Horniman Triangle Play Park,Play space,Lewisham,1.6583,Free,,,,,,,,,
Eckington Gardens,Park,Lewisham,0.8921,Free,,,,,,,,,
Brockley and Ladywell Cemetery,Cemetery/churchyard,Lewisham,14.9093,Restricted,,,,,,,,,
Sayers Court Park Play Area,Play space,Lewisham,0.1171,Free,,,,,,,,,
Beckenham Place Park,Park,Lewisham,70.3921,Free,,,,,,,,,
Ladywell Fields,Park,Lewisham,16.2303,Free,,,,,,,,,
Margaret McMillan Park (Lewisham),Park,Lewisham,1.2403,Free,,,,,,,,,
Pepys Park,Park,Lewisham,2.6478,Free,,,,,,,,,
Downham Playing Fields,Playing fields,Lewisham,7.7354,Free,,,,,,,,,
Culverley Green,Other recreational,Lewisham,0.1567,Free,,,,,,,,,
Turnham Road Green,Amenity green space,Lewisham,0.0616,Free,,,,,,,,,
Sayes Court Park,Park,Lewisham,1.0016,Free,,,,,,,,,
Peckham Rye Park,Common,Southwark,42.9133,Free,,,,,,,,,
"St Mary's Churchyard, Rotherhithe",Cemetery/churchyard,Southwark,0.2154,Free,,,,,,,,,
Warwick Gardens,Park,Southwark,1.5327,Free,,,,,,,,,
Camberwell Old Cemetery,Cemetery/churchyard,Southwark,11.6224,Free,,,,,,,,,
Honor Oak Sports Ground,Recreation ground,Southwark,4.4704,Free,,,,,,,,,
Dulwich Upper Wood,Nature reserve,Southwark,2.1452,Free,,,,,,,,,
Consort Park,Park,Southwark,0.3364,Free,,,,,,,,,
Montague Square,Adventure playground,Southwark,0.1044,Free,,,,,,,,,
"Former Canal, Peckham",Canal,Southwark,2.43,Free,,,,,,,,,
Holly Grove Shrubbery,Park,Southwark,0.3257,Free,,,,,,,,,
Southwark Park,Park,Southwark,25.5915,Free,,,,,,,,,
Bird-in-Bush Park,Park,Southwark,0.4617,Free,,,,,,,,,
Honor Oak Crematorium,Cemetery/churchyard,Southwark,2.57,Free,,,,,,,,,
King's Stairs Gardens,Park,Southwark,3.3043,Free,,,,,,,,,
Greendale Playing Fields,Playing fields,Southwark,0.6604,Free,,,,,,,,,
Brunswick Park,Park,Southwark,1.6014,Free,,,,,,,,,
Leathermarket Gardens,Park,Southwark,1.1932,Free,,,,,,,,,
Hankey Place Gardens,Formal garden,Southwark,0.0792,Free,,,,,,,,,
West Square Gardens,Formal garden,Southwark,0.3575,Free,,,,,,,,,
Kirkwood Road Nature Reserve,Nature reserve,Southwark,0.1931,Free,,,,,,,,,
Dulwich Park,Park,Southwark,29.6494,Free,,,,,,,,,
Bermondsey Spa Gardens,Park,Southwark,1.5518,Free,,,,,,,,,
Bramcote Green,Nature reserve,Southwark,0.1943,Free,,,,,,,,,
Dawson's Hill,Nature reserve,Southwark,2.6681,Free,,,,,,,,,
Dr Harold Moody Park,Park,Southwark,0.5079,De facto,,,,,,,,,
Camberwell New Cemetery,Cemetery/churchyard,Southwark,12.1983,Free,,,,,,,,,
Brenchley Gardens,Amenity green space,Southwark,3.6201,Free,,,,,,,,,
King Edward III's Manor House,Park,Southwark,0.3127,Free,,,,,,,,,
Cossall Park,Park,Southwark,1.1209,Free,,,,,,,,,
Paterson Park,Park,Southwark,0.4626,Free,,,,,,,,,
Brimmington Park,Park,Southwark,1.8048,Free,,,,,,,,,
Neptune Street Park,Park,Southwark,0.091,Free,,,,,,,,,
Sydenham Hill Wood and Cox's Walk,Nature reserve,Southwark,10.4022,Free,,,,,,,,,
Dulwich Woods,Public woodland,Southwark,16.1496,Free,,,,,,,,,
Calypso Gardens,Formal garden,Southwark,0.2304,Free,,,,,,,,,
Nunhead Cemetery,Cemetery/churchyard,Southwark,20.2304,Free,,,,,,,,,
Pearsons Park,Park,Southwark,0.3956,Free,,,,,,,,,
"One Tree Hill, Camberwell Old Cemetery & Honor Oak",Nature reserve,Southwark,6.9457,Free,,,,,,,,,
King George's Field,Park,Southwark,0.6459,Free,,,,,,,,,
"St Mary's Gardens, Rotherhithe",Park,Southwark,0.3695,Free,,,,,,,,,
Leyton Square,Park,Southwark,1.0095,Free,,,,,,,,,
Piermont Green,Park,Southwark,0.4134,Free,,,,,,,,,
Belair Park,Park,Southwark,15.7636,Free,,,,,,,,,
Russia Dock Woodlands,Public woodland,Southwark,10.4633,Free,,,,,,,,,
Stave Hill Ecological Park,Nature reserve,Southwark,2.6037,Free,,,,,,,,,
Benhill Road Nature Garden,Nature reserve,Southwark,0.1672,Free,,,,,,,,,
Mint Street Park,Park,Southwark,0.8951,Free,,,,,,,,,
Long Meadow,Park,Southwark,1.4619,Free,,,,,,,,,
Pullen Gardens,Formal garden,Southwark,0.3005,Free,,,,,,,,,
Newington Gardens,Park,Southwark,1.3336,Free,,,,,,,,,
Dog Kennel Hill Open Space,Park,Southwark,0.9037,Free,,,,,,,,,
Draycott Close Playground,Play space,Southwark,0.1314,De facto,,,,,,,,,
Burgess Park,Playing fields,Southwark,44.9874,Free,,,,,,,,,
Potters Fields Park,Park,Southwark,1.2686,Free,,,,,,,,,
Carlton Avenue/Townley Road Memorial Garden,Formal garden,Southwark,0.1144,Free,,,,,,,,,
All Hallows' Churchyard,Cemetery/churchyard,Southwark,0.0715,Free,,,,,,,,,
Paragon Gardens,Park,Southwark,0.6044,Free,,,,,,,,,
Victory Community Park,Park,Southwark,0.503,Free,,,,,,,,,
Bolton Crescent Open Space,Amenity green space,Southwark,0.0126,Free,,,,,,,,,
Crossbones Graveyard,Community garden,Southwark,0.1064,Restricted,,,,,,,,,
Geraldine Mary Harmsworth Park,Park,Southwark,6.1692,Free,,,,,,,,,
Christchurch Gardens,Cemetery/churchyard,Southwark,0.4376,Free,,,,,,,,,
Dickens Square Park,Park,Southwark,1.1521,Free,,,,,,,,,
Little Dorrit Park,Park,Southwark,0.304,Free,,,,,,,,,
Marlborough Sports Garden,Playing fields,Southwark,0.3412,Free,,,,,,,,,
Nelson Square Gardens,Formal garden,Southwark,0.4028,Free,,,,,,,,,
Pasley Park,Park,Southwark,1.5664,Free,,,,,,,,,
Nursery Row Park,Park,Southwark,1.7488,Free,,,,,,,,,
Burgess Park Nature Area,Nature reserve,Southwark,2.0155,Free,,,,,,,,,
Tabard Gardens,Park,Southwark,1.6341,Free,,,,,,,,,
Guy Street Park,Recreation ground,Southwark,0.3866,Free,,,,,,,,,
Cherry Gardens,Formal garden,Southwark,0.4115,Free,,,,,,,,,
Dog Kennel Hill Adventure Playground,Adventure playground,Southwark,0.3856,Restricted,,,,,,,,,
Sunray Gardens,Park,Southwark,1.5807,Free,,,,,,,,,
Pelier Park,Park,Southwark,0.3619,Free,,,,,,,,,
Tabard Square,Civic/market square,Southwark,0.3987,Free,,,,,,,,,
Sceaux Gardens,Park,Southwark,0.6957,Free,,,,,,,,,
Falmouth Road Gardens,Park,Southwark,0.1878,Free,,,,,,,,,
Red Cross Garden,Formal garden,Southwark,0.1221,Free,,,,,,,,,
Camberwell Green,Park,Southwark,0.9086,Free,,,,,,,,,
St George's Churchyard and Gardens,Park,Southwark,0.2842,Free,,,,,,,,,
St John's Churchyard,Park,Southwark,0.8441,Free,,,,,,,,,
Green Dale Fields,Playing fields,Southwark,2.3443,Free,,,,,,,,,
St Giles Churchyard,Cemetery/churchyard,Southwark,0.9454,Free,,,,,,,,,
Diversity Garden,Community garden,Southwark,0.0504,Free,,,,,,,,,
More London,Civic/market square,Southwark,4.1805,Free,,,,,,,,,
