SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
Granary Square,Civic/market square,Camden,0.6685,Free,,,,,,,,,
Coram's Fields,Play space,Camden,2.7344,Restricted,,,,,,,,,
Gasholder Park,Formal garden,Camden,0.151,Free,,,,,,,,,
Jellicoe Gardens,Formal garden,Camden,0.1234,Free,,,,,,,,,
Polygon Road Open Space,Play space,Camden,0.4753,Free,,,,,,,,,
Bagshot House Open Space,Amenity green space,Camden,0.0635,Free,,,,,,,,,
Mayford Amenity Greenspace,Amenity green space,Camden,0.0135,De facto,,,,,,,,,
Frances Crick Garden,Park,Camden,0.0306,Free,,,,,,,,,
St Martin's Gardens,Formal garden,Camden,0.7097,Free,,,,,,,,,
Cantelowes Garden,Park,Camden,1.4649,Free,,,,,,,,,
Lupton Road pocket park (south),Park,Camden,0.0075,Free,,,,,,,,,
Maitland Park Terrace,Amenity green space,Camden,1.0284,De facto,,,,,,,,,
Camley Street Natural Park,Nature reserve,Camden,0.8448,Restricted,,,,,,,,,
Gray's Inn Gardens,Formal garden,Camden,2.2263,Restricted,,,,,,,,,
Maygrove Walk,Park,Camden,0.1035,Free,,,,,,,,,
Sumatra Road Playground,Play space,Camden,0.1162,Free,,,,,,,,,
Highgate Enclosures,Formal garden,Camden,0.3857,Free,,,,,,,,,
Harrington Square Gardens,Formal garden,Camden,0.4754,Free,,,,,,,,,
Montpelier Gardens,Park,Camden,0.3727,Free,,,,,,,,,
Islip Street Playground,Other recreational,Camden,0.3571,Free,,,,,,,,,
Hawkshead estate,Formal garden,Camden,0.0208,Free,,,,,,,,,
Regent's Place,Civic/market square,Camden,0.0736,Free,,,,,,,,,
Broadhurst Gardens Childrens Play Area,Play space,Camden,0.0681,Free,,,,,,,,,
Lincoln's Inn Fields,Park,Camden,2.8921,Free,,,,,,,,,
Handyside Gardens,Park,Camden,0.2007,Free,,,,,,,,,
Fitzroy Square Gardens,Formal garden,Camden,0.3155,Restricted,,,,,,,,,
Olympic Ring Park,Walking/cycling route,Camden,0.0368,Free,,,,,,,,,
